Date,ATM_ID,Total_Withdrawals,Total_Deposits,Previous_Day_Cash_Level,Cash_Demand_Next_Day,Day_of_Week,Time_of_Day,Location_Type,Weather_Condition,Nearby_Competitor_ATMs,Holiday_Flag,Special_Event_Flag
2022-04-04,39,48348.11,8957.86,125598.76,50178.67,Monday,Night,Mall,Rainy,1,0,0
2022-12-04,29,68142.46,0.0,32171.24,68787.11,Sunday,Afternoon,Standalone,Clear,8,0,0
2022-06-20,15,51483.54,8241.91,88236.44,49909.3,Monday,Afternoon,Gas Station,Clear,4,0,0
2023-08-29,43,44233.63,13669.51,131803.58,47214.43,Tuesday,Night,Gas Station,Rainy,4,0,0
2023-10-23,8,40401.51,9425.69,10000.0,43300.99,Monday,Evening,Bank Branch,Cloudy,5,0,0
2023-09-16,21,53877.36,9461.8,48233.91,49023.11,Saturday,Night,Mall,Clear,2,0,0
2023-07-21,39,37067.21,12696.39,23854.39,36315.64,Friday,Evening,Supermarket,Clear,0,0,0
2023-04-12,19,68956.59,13339.59,71100.95,62428.16,Wednesday,Afternoon,Standalone,Cloudy,7,0,0
2023-09-20,23,34340.36,1413.22,151886.59,36671.91,Wednesday,Night,Gas Station,Snowy,6,0,0
2022-05-23,11,71837.12,10037.84,139913.22,67197.78,Monday,Afternoon,Bank Branch,Clear,7,0,0
2022-07-20,11,45556.93,9176.55,74729.63,47141.09,Wednesday,Night,Bank Branch,Snowy,8,1,0
2022-06-29,24,33760.31,10495.51,151447.05,32797.3,Wednesday,Afternoon,Mall,Cloudy,1,0,0
2023-12-15,36,52627.48,518.56,133170.07,55954.22,Friday,Afternoon,Supermarket,Rainy,4,0,0
2022-12-30,40,35603.9,16584.33,163756.46,35672.88,Friday,Afternoon,Supermarket,Rainy,1,0,0
2023-04-24,24,50320.28,10161.81,95572.7,48553.05,Monday,Night,Gas Station,Snowy,7,0,0
2023-07-19,3,41200.29,12202.54,126953.85,39748.98,Wednesday,Evening,Bank Branch,Clear,3,0,0
2023-04-16,22,63893.37,18745.24,268591.04,61681.73,Sunday,Afternoon,Mall,Rainy,3,0,0
2023-01-19,2,51846.12,12249.67,84521.33,54838.46,Thursday,Night,Supermarket,Cloudy,9,1,0
2023-11-23,24,32094.58,2615.79,96750.9,33449.72,Thursday,Night,Bank Branch,Clear,7,0,0
2023-02-21,44,40909.77,9707.24,92054.89,39430.59,Tuesday,Afternoon,Supermarket,Snowy,6,0,0
2022-11-04,30,60314.53,13421.78,95474.82,60196.41,Friday,Afternoon,Standalone,Snowy,0,0,0
2023-10-11,38,68990.82,10405.29,127905.14,63142.52,Wednesday,Evening,Supermarket,Snowy,6,0,0
2023-11-25,2,49133.22,18456.58,102905.43,52351.45,Saturday,Afternoon,Supermarket,Snowy,9,0,0
2023-01-02,21,34242.31,5952.76,31757.52,32639.46,Monday,Evening,Bank Branch,Cloudy,2,0,0
2022-01-01,33,65517.36,16203.95,100902.44,70617.56,Saturday,Morning,Supermarket,Rainy,4,0,0
2022-02-13,12,60249.2,14222.81,73684.52,61415.59,Sunday,Night,Supermarket,Snowy,7,0,0
2022-04-08,22,69280.67,10562.09,13574.06,70220.39,Friday,Evening,Standalone,Rainy,5,0,0
2023-12-21,44,54133.28,11745.56,157251.61,50481.65,Thursday,Afternoon,Supermarket,Rainy,7,0,0
2022-09-22,25,42049.02,5358.86,73406.77,38428.9,Thursday,Evening,Supermarket,Snowy,4,0,0
2022-05-20,49,57511.71,8629.9,119168.32,58116.92,Friday,Afternoon,Bank Branch,Clear,9,0,1
2023-04-26,27,54671.61,12944.76,10000.0,54321.59,Wednesday,Evening,Mall,Snowy,8,0,0
2022-08-25,42,41240.08,9401.46,124946.1,38103.22,Thursday,Night,Standalone,Cloudy,5,0,0
2022-03-13,28,52768.51,10422.9,84329.31,56310.2,Sunday,Evening,Supermarket,Clear,8,0,1
2023-10-29,16,46901.33,14971.13,22257.59,46125.02,Sunday,Morning,Mall,Snowy,3,0,0
2022-07-09,15,60889.69,823.56,72404.04,57972.56,Saturday,Night,Bank Branch,Rainy,1,0,0
2022-09-25,47,57140.87,11931.23,65683.69,60435.29,Sunday,Evening,Standalone,Rainy,7,0,0
2022-11-17,44,34135.08,18796.73,137533.77,36955.08,Thursday,Morning,Bank Branch,Clear,4,0,1
2022-04-17,3,32632.29,8290.27,104521.34,31365.92,Sunday,Morning,Mall,Cloudy,1,0,1
2022-08-20,37,48469.45,4058.16,23875.54,51144.48,Saturday,Evening,Standalone,Rainy,5,0,0
2022-02-11,7,50297.14,8230.61,121925.19,51831.4,Friday,Night,Supermarket,Cloudy,2,0,0
2023-12-03,21,61149.6,2727.15,10000.0,67138.93,Sunday,Evening,Mall,Rainy,0,0,0
2022-05-19,9,57458.28,11230.12,43746.32,54056.67,Thursday,Night,Bank Branch,Clear,5,0,1
2023-09-07,39,71548.25,9769.45,100732.6,78140.41,Thursday,Night,Standalone,Snowy,7,0,0
